Fecha,Metal,Valor,Unidad,,
18-10-2017,Cobre,316.220,¢US/lb,,
18-10-2017,Oro,"1,280.65",US$/ozt,,
18-10-2017,Plata,16.95,US$/ozt,,
18-10-2017,Molibdeno,7.257,¢US/lb,,
18-10-2017,Inventarios,"292,225",TM,,
19-10-2017,Cobre,313.89,¢US/lb,,
19-10-2017,Oro,"1,283.40",US$/ozt,,
19-10-2017,Plata,17.03,US$/ozt,,
19-10-2017,Molibdeno,7.257,¢US/lb,,
19-10-2017,Inventarios,"291,250",TM,,
20-10-2017,Cobre,317.9,¢US/lb,,
20-10-2017,Oro,"1,280.25",US$/ozt,,
20-10-2017,Plata,17.08,US$/ozt,,
20-10-2017,Molibdeno,7.257,¢US/lb,,
20-10-2017,Inventarios,"287,625",TM,,
23-10-2017,Cobre,315.66,¢US/lb,,
23-10-2017,Oro,"1,275.25",US$/ozt,,
23-10-2017,Plata,17,US$/ozt,,
23-10-2017,Molibdeno,7.257,¢US/lb,,
23-10-2017,Inventarios,"283,450",TM,,
24-10-2017,Cobre,320.85,¢US/lb,,
24-10-2017,Oro,"1,278.30",US$/ozt,,
24-10-2017,Plata,17.04,US$/ozt,,
24-10-2017,Molibdeno,7.257,¢US/lb,,
24-10-2017,Inventarios,"281,550",TM,,
25-10-2017,Cobre,316.18,¢US/lb,,
25-10-2017,Oro,"1,273",US$/ozt,,
25-10-2017,Plata,16.89,US$/ozt,,
25-10-2017,Molibdeno,7.257,¢US/lb,,
25-10-2017,Inventarios,"279,400",TM,,
26-10-2017,Cobre,315.93,¢US/lb,,
26-10-2017,Oro,"1,278",US$/ozt,,
26-10-2017,Plata,"16,97",US$/ozt,,
26-10-2017,Molibdeno,7.257,¢US/lb,,
26-10-2017,Inventarios,"275,575",TM,,
27-10-2017,Cobre,309.87,¢US/lb,,
27-10-2017,Oro,"1,267.80",US$/ozt,,
27-10-2017,Plata,16.72,US$/ozt,,
27-10-2017,Molibdeno,7.257,¢US/lb,,
27-10-2017,Inventarios,"272,625",TM,,
30-10-2017,Cobre,309.49,¢US/lb,,
30-10-2017,Oro,"1,272.75",US$/ozt,,
30-10-2017,Plata,16.74,US$/ozt,,
30-10-2017,Molibdeno,7.257,¢US/lb,,
30-10-2017,Inventarios,"273,625",TM,,
31-10-2017,Cobre,308.53,¢US/lb,,
31-10-2017,Oro,"1,274.40",US$/ozt,,
31-10-2017,Plata,16.82,US$/ozt,,
31-10-2017,Molibdeno,7.257,¢US/lb,,
31-10-2017,Inventarios,"274,625",TM,,
01-11-2017,Cobre,313.80,¢US/lb,,
01-11-2017,Oro,"1,279.25",US$/ozt,,
01-11-2017,Plata,16.94,US$/ozt,,
